,Name,Year,Duration,Rated,Score,Metascore
353,. Rogue One: A Star Wars Story,2016,2h 13m,PG-13,7.8,65
354,. Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,1h 39m,PG,7.2,74
355,. Not Another Teen Movie,2001,1h 29m,R,5.8,32
356,. The Lord of the Rings: The Two Towers,2002,2h 59m,PG-13,8.8,87
357,. The Help,2011,2h 26m,PG-13,8.1,62
358,. Jumanji: The Next Level,2019,2h 3m,PG-13,6.7,58
359,. The Revenant,2015,2h 36m,R,8.0,76
360,. Captain America: The First Avenger,2011,2h 4m,PG-13,6.9,66
361,. Annihilation,2018,1h 55m,R,6.8,79
362,. The Avengers,2012,2h 23m,PG-13,8.0,69
363,. Baywatch,2017,1h 56m,R,5.5,37
364,. Charlie and the Chocolate Factory,2005,1h 55m,PG,6.7,72
365,. Sasquatch Sunset,2024,1h 28m,R,5.5,65
366,. Don't Look Up,2021,2h 18m,R,7.2,49
367,. Bones and All,2022,2h 11m,R,6.8,74
368,. The Marvels,2023,1h 45m,PG-13,5.5,50
369,. The Nice Guys,2016,1h 56m,R,7.4,70
370,. Jumanji: Welcome to the Jungle,2017,1h 59m,PG-13,7.0,58
371,. Nymphomaniac: Vol. I,2013,1h 57m,Not Rated,6.9,64
372,. The Hobbit: An Unexpected Journey,2012,2h 49m,PG-13,7.8,58
373,. Just Go with It,2011,1h 57m,PG-13,6.4,33
374,. Harry Potter and the Prisoner of Azkaban,2004,2h 22m,PG,7.9,82
375,. Billy Elliot,2000,1h 50m,R,7.7,74
376,. One Day,2011,1h 47m,PG-13,7.0,48
377,. Unfaithful,2002,2h 4m,R,6.7,63
378,. How to Have Sex,2023,1h 31m,No,6.5,79
379,. Aftersun,2022,1h 42m,R,7.6,95
380,. Ratatouille,2007,1h 51m,G,8.1,96
381,. Finding Nemo,2003,1h 40m,G,8.2,90
382,. Elvis,2022,2h 39m,PG-13,7.3,64
383,. Evil Dead Rise,2023,1h 36m,R,6.5,69
384,. The Girl Next Door,2004,1h 49m,R,6.7,47
385,. The Exorcism,2024,1h 33m,R,5.4,0
386,. A Beautiful Mind,2001,2h 15m,PG-13,8.2,72
387,. Avatar,2009,2h 42m,PG-13,7.9,83
388,. Anna,2019,1h 58m,R,6.6,40
389,. The Pianist,2002,2h 30m,R,8.5,85
390,. Me Before You,2016,1h 50m,PG-13,7.4,51
391,. Kong: Skull Island,2017,1h 58m,PG-13,6.7,62
392,. Hellboy,2019,2h,R,5.3,31
393,. Star Wars: Episode IX - The Rise of Skywalker,2019,2h 21m,PG-13,6.4,53
394,. Les Misérables,2012,2h 38m,PG-13,7.5,63
395,. Spider-Man: Homecoming,2017,2h 13m,PG-13,7.4,73
396,. Asphalt City,2023,2h 5m,R,6.1,47
397,. Thor: Ragnarok,2017,2h 10m,PG-13,7.9,74
398,". The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,2h 23m,PG,6.9,75
399,. The Gift,2015,1h 48m,R,7.0,77
400,. Apocalypto,2006,2h 19m,R,7.8,68
401,. The Boy and the Heron,2023,2h 4m,PG-13,7.6,91
402,. Knock at the Cabin,2023,1h 40m,R,6.1,63
403,. Remember Me,2010,1h 53m,PG-13,7.1,40
404,. The 40-Year-Old Virgin,2005,1h 56m,R,7.1,73
405,. Last Night in Soho,2021,1h 56m,R,7.0,65
406,. Operation Fortune: Ruse de Guerre,2023,1h 54m,R,6.3,51
407,. Edge of Tomorrow,2014,1h 53m,PG-13,7.9,71
408,. White Chicks,2004,1h 49m,PG-13,5.8,41
409,. Elemental,2023,1h 41m,PG,7.0,58
410,. Mulholland Drive,2001,2h 27m,R,7.9,87
411,. A Man Called Otto,2022,2h 6m,PG-13,7.5,51
